"search-number","evaluation","memory*","nchpercent*","trustindexmean*","initialexperience*","carepatchmean*","carefarmermean*","careothersmean*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","1400","14","0.65","0.61","9.7","0.16","0.01","0.09","10","0.45137309591215324","10","0.4682794427690654"
"2","1460","22","0.58","0.54","6.4","0.96","0.52","0.59","10","0.44743128913900077","10","0.4369361020320735"
"3","1410","21","0.41000000000000003","0.56","7.800000000000001","0.33","0.3","0.28","10","0.42982446738667973","10","0.4298828621544815"
"4","1370","9","0.9500000000000001","0.5","8.1","0.99","0.02","0.22","10","0.46319272814971824","10","0.4284086686585651"
"5","1410","27","0.62","0.59","7","0.02","0.84","0.41000000000000003","10","0.4298909805304473","10","0.40823261168585406"
"6","1440","20","0.87","0.68","7.9","0.6900000000000001","0.04","0","10","0.45195786141136","10","0.4450726149420203"
"7","1450","30","0.22","0.56","8.8","0.86","0.07","0.27","10","0.47101486707406337","10","0.4667733992203559"
"8","1410","22","0.61","0.51","9.600000000000001","0.38","0.12","0.15","10","0.45472013533468225","10","0.42584854602106625"
"9","1390","27","0.01","0.55","7.7","0.97","0.28","0.08","10","0.4502721804799723","10","0.41976520029538344"
"10","1350","9","0.43","0.59","9","0.97","0.46","0","10","0.4556985343951033","10","0.48516018098323566"
